title,url,shares,channel,model_prediction,word_count,num_images
10 Productivity Hacks That Will Change How You Work Forever,http://mashable.com/2013/01/15/productivity-hacks/,4250,Lifestyle,1,1240,5
Scientists Discover New Species in Amazon Rainforest,http://mashable.com/2013/02/03/amazon-new-species/,980,World,0,890,8
The Ultimate Guide to Home Brewing Your Own Beer,http://mashable.com/2013/03/12/home-brewing-guide/,3100,Lifestyle,1,2340,12
Why Remote Work Is Here to Stay (And What That Means for Cities),http://mashable.com/2013/04/08/remote-work-cities/,5600,Business,1,1780,3
5 Reasons Your Morning Routine Is Sabotaging Your Success,http://mashable.com/2013/01/22/morning-routine-mistakes/,8900,Lifestyle,1,950,6
Breakthrough in Battery Technology Could Power Electric Cars for 500 Miles,http://mashable.com/2013/05/14/battery-breakthrough/,2200,Tech,1,1100,4
How to Train Your Brain to Be More Creative,http://mashable.com/2013/02/28/train-brain-creative/,6700,Lifestyle,1,1560,7
The Dark Side of Social Media Algorithms Nobody Talks About,http://mashable.com/2013/06/01/social-media-algorithms/,12400,Tech,1,2100,2
25 Places You Must Visit Before You Die,http://mashable.com/2013/03/05/bucket-list-travel/,18700,Lifestyle,1,1890,25
Why Most Diets Fail — And What Actually Works,http://mashable.com/2013/07/09/why-diets-fail/,5300,Health,1,1420,4
New Study Links Sleep Deprivation to Long-Term Memory Loss,http://mashable.com/2013/04/17/sleep-deprivation-memory/,3800,Health,1,780,2
The Rise of AI in Healthcare: Promise and Peril,http://mashable.com/2013/08/23/ai-healthcare/,4100,Tech,1,1950,6
How One Man Turned a $500 Investment Into $1 Million,http://mashable.com/2013/05/30/500-investment-million/,22100,Business,1,1340,3
The Countries With the Happiest Workers in the World,http://mashable.com/2013/09/11/happiest-workers-countries/,2900,Business,1,1100,8
Inside the Secret World of Professional Gaming,http://mashable.com/2013/06/18/professional-gaming/,3400,Entertainment,1,1680,10
A Beginner's Guide to Investing in Index Funds,http://mashable.com/2013/10/02/index-fund-guide/,1100,Business,0,2200,1
Why Your Password Is Probably Already Compromised,http://mashable.com/2013/07/25/password-security/,7800,Tech,1,1050,3
The Future of Food: Lab-Grown Meat Is Almost Here,http://mashable.com/2013/11/15/lab-grown-meat/,5900,World,1,1400,5
How Meditation Changed My Life (And the Science Behind It),http://mashable.com/2013/08/12/meditation-science/,4200,Health,1,1730,4
The Most Common Mistakes First-Time Homebuyers Make,http://mashable.com/2013/12/03/homebuyer-mistakes/,1800,Business,1,1560,6
JavaScript vs Python: Which Should You Learn First?,http://mashable.com/2014/01/08/javascript-vs-python/,890,Tech,0,1200,2
This 23-Year-Old Built an App That Made $10 Million in 6 Months,http://mashable.com/2014/02/14/app-10-million/,31400,Business,1,1100,4
The Science Behind Why You Procrastinate (And How to Stop),http://mashable.com/2014/03/22/procrastination-science/,9200,Health,1,1640,3
5 Books Warren Buffett Says Everyone Should Read,http://mashable.com/2014/04/30/warren-buffett-book-list/,14600,Business,1,820,5
Why Facebook Is Losing Young Users to Instagram and Snapchat,http://mashable.com/2014/05/07/facebook-losing-young-users/,6300,Tech,1,990,3
The Hidden Costs of Free Shipping (And What Retailers Don't Tell You),http://mashable.com/2014/06/15/free-shipping-hidden-costs/,760,Business,0,1380,2
How Airbnb Is Changing the Way We Travel Forever,http://mashable.com/2014/07/23/airbnb-travel-change/,4800,Business,1,1520,8
10 Things Happy People Do Differently,http://mashable.com/2014/08/01/habits-happy-people/,16800,Lifestyle,1,1100,6
The Truth About Multitasking: You're Actually Worse at Everything,http://mashable.com/2014/09/09/multitasking-myth/,7400,Health,1,1280,3
NASA Announces Mission to Europa: The Moon Most Likely to Have Life,http://mashable.com/2014/10/18/nasa-europa-mission/,2100,World,1,980,7
